applianceType,startTime,stopTime,usage,unit
AlwaysOn,1509494400,1509580800,4.1516,kWh
AlwaysOn,1509580800,1509667200,4.0285,kWh
AlwaysOn,1509667200,1509753600,4.8795,kWh
AlwaysOn,1509753600,1509840000,4.2236,kWh
AlwaysOn,1509840000,1509926400,3.9257,kWh
AlwaysOn,1509926400,1510012800,3.9095,kWh
AlwaysOn,1510012800,1510099200,4.6736,kWh
AlwaysOn,1510099200,1510185600,5.157069186034262,kWh
AlwaysOn,1510185600,1510272000,5.7112,kWh
AlwaysOn,1510272000,1510358400,4.9511,kWh
AlwaysOn,1510358400,1510444800,5.0302,kWh
AlwaysOn,1510444800,1510531200,5.5072,kWh
AlwaysOn,1510531200,1510617600,5.2717,kWh
AlwaysOn,1510617600,1510704000,5.5144,kWh
AlwaysOn,1510704000,1510790400,5.7046,kWh
AlwaysOn,1510790400,1510876800,4.4752,kWh
AlwaysOn,1510876800,1510963200,4.3003,kWh
AlwaysOn,1510963200,1511049600,4.3314,kWh
AlwaysOn,1511049600,1511136000,4.7035,kWh
AlwaysOn,1511136000,1511222400,4.4336,kWh
AlwaysOn,1511222400,1511308800,4.482,kWh
AlwaysOn,1511308800,1511395200,4.976432425200169,kWh
AlwaysOn,1511395200,1511481600,5.5432,kWh
AlwaysOn,1511481600,1511568000,4.372,kWh
AlwaysOn,1511568000,1511654400,4.9964,kWh
AlwaysOn,1511654400,1511740800,3.8105,kWh
AlwaysOn,1511740800,1511827200,4.1001,kWh
AlwaysOn,1511827200,1511913600,3.9712,kWh
AlwaysOn,1511913600,1512000000,4.3087,kWh
AlwaysOn,1512000000,1512086400,5.4809,kWh
AlwaysOn,1512086400,1512172800,3.9614,kWh
AlwaysOn,1512172800,1512259200,4.2327,kWh
AlwaysOn,1512259200,1512345600,4.1764,kWh
AlwaysOn,1512345600,1512432000,4.2008,kWh
AlwaysOn,1512432000,1512518400,8.167,kWh
AlwaysOn,1512518400,1512604800,6.476022619524221,kWh
AlwaysOn,1512604800,1512691200,4.5381,kWh
AlwaysOn,1512691200,1512777600,4.4245,kWh
AlwaysOn,1512777600,1512864000,4.1625,kWh
AlwaysOn,1512864000,1512950400,4.2092,kWh
AlwaysOn,1512950400,1513036800,4.3781,kWh
AlwaysOn,1513036800,1513123200,4.3476,kWh
AlwaysOn,1513123200,1513209600,5.5643,kWh
AlwaysOn,1513209600,1513296000,5.6384,kWh
AlwaysOn,1513296000,1513382400,5.4394,kWh
AlwaysOn,1513382400,1513468800,4.631,kWh
AlwaysOn,1513468800,1513555200,5.9984,kWh
AlwaysOn,1513555200,1513641600,4.4341,kWh
AlwaysOn,1513641600,1513728000,4.7543,kWh
AlwaysOn,1513728000,1513814400,2.5388,kWh
AlwaysOn,1513728000,1513814400,3.1481,kWh
AlwaysOn,1513814400,1513900800,5.731,kWh
AlwaysOn,1513900800,1513987200,5.3373,kWh
AlwaysOn,1513987200,1514073600,5.6506,kWh
AlwaysOn,1514073600,1514160000,6.0822,kWh
AlwaysOn,1514160000,1514246400,4.8153,kWh
AlwaysOn,1514246400,1514332800,5.3088,kWh
AlwaysOn,1514332800,1514419200,4.0628,kWh
AlwaysOn,1514419200,1514505600,5.018,kWh
AlwaysOn,1514505600,1514592000,5.6548,kWh
AlwaysOn,1514592000,1514678400,4.5602,kWh
AlwaysOn,1514678400,1514764800,4.5751,kWh
AlwaysOn,1514764800,1514851200,4.6004,kWh
AlwaysOn,1514851200,1514937600,4.712,kWh
